normalized_street,normalized_cross,street,cross,query,status,match_count,matching_intersection_full,lng,lat,request_ms,attempts,http_status,error,fetched_at
a street,binford street,A St,Binford St,A St and Binford St,ok,1,"A St & Binford St, South Boston Waterfront, MA 02210",-71.051139000001,42.346944000003,1018,1,200,,2026-06-04T17:51:30.390Z
a street,congress street,A St,Congress St,A St and Congress St,ok,1,"A St & Congress St, South Boston Waterfront, MA 02210",-71.048466000001,42.350373000003,371,1,200,,2026-06-04T17:51:30.939Z
a street,melcher street,A St,Melcher St,A St and Melcher St,ok,1,"A St & Melcher St, South Boston Waterfront, MA 02210",-71.049478500001,42.349086000003,398,1,200,,2026-06-04T17:51:32.169Z
abbot street,blue hill avenue,Abbot St,Blue Hill Ave,Abbot St and Blue Hill Ave,ok,1,"Abbot St & Blue Hill Ave, Dorchester, MA 02124",-71.086977000001,42.297687000003,347,1,200,,2026-06-04T17:51:33.318Z
abbot street,harvard avenue,Abbot St,Harvard Ave,Abbot St and Harvard Ave,ok,1,"Abbot St & Harvard St, Dorchester, MA 02124",-71.085388500001,42.295698000003,386,1,200,,2026-06-04T17:51:34.560Z
abbotsford street,harold street,Abbotsford St,Harold St,Abbotsford St and Harold St,ok,1,"Abbotsford St & Harold St, Roxbury, MA 02121",-71.091540000001,42.314274000003,491,1,200,,2026-06-04T17:51:35.867Z
abbotsford street,walnut avenue,Abbotsford St,Walnut Ave,Abbotsford St and Walnut Ave,ok,1,"Abbotsford St & Walnut Ave, Roxbury, MA 02119",-71.093709000001,42.314958000003,324,1,200,,2026-06-04T17:51:36.900Z
aberdeen street,beacon street,Aberdeen St,Beacon St,Aberdeen St and Beacon St,ok,1,"Aberdeen St & Beacon St, Fenway, MA 02215",-71.104122000001,42.346953000003,299,1,200,,2026-06-04T17:51:38.078Z
acadia street,east first street,Acadia St,East First St,Acadia St and East First St,ok,1,"Acadia St & E First St, South Boston, MA 02127",-71.030007000001,42.338250000003,306,1,200,,2026-06-04T17:51:39.287Z
acadia street,east second street,Acadia St,East Second St,Acadia St and East Second St,ok,1,"Acadia St & E Second St, South Boston, MA 02127",-71.029975500001,42.337422000003,275,1,200,,2026-06-04T17:51:40.457Z
ackley place,washington street,Ackley Pl,Washington St,Ackley Pl and Washington St,ok,1,"Ackley Pl & Washington St, Jamaica Plain, MA 02130",-71.103073500001,42.310962000003,332,1,200,,2026-06-04T17:51:41.714Z
adams street,bowdoin street,Adams St,Bowdoin St,Adams St and Bowdoin St,ok,2,"Adams St & Bowdoin St, Dorchester, MA 02122",-71.064252000001,42.308820000003,322,1,200,,2026-06-04T17:51:42.904Z
adams street,dorchester avenue,Adams St,Dorchester Ave,Adams St and Dorchester Ave,ok,2,"Adams St & Dorchester Ave, Dorchester, MA 02122",-71.059806000001,42.301512000003,665,1,200,,2026-06-04T17:51:44.449Z
adams street,eustis street,Adams St,Eustis St,Adams St and Eustis St,ok,1,"Adams St & Eustis St, Roxbury, MA 02119",-71.076825000001,42.328296000003,353,1,200,,2026-06-04T17:51:45.337Z
adams street,forest street,Adams St,Forest St,Adams St and Forest St,ok,1,"Adams St & Forest St, Roxbury, MA 02119",-71.078211000001,42.327126000003,389,1,200,,2026-06-04T17:51:46.575Z
