MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,section,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround,northendpilot,timestamp,parent,losta,hista
1,Ackley Pl,2,Jamaica Plain,08:00,12:00,Even,Washington St,Dead End,4.54545454545455E-02,,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,6/26/2018 9:43:55 AM,ACKLE1,0,240
2,Arcadia Park,3,North Dorchester,08:00,12:00,Even,Draper St,Ditson St,8.35227272727273E-02,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,6/19/2014 9:15:28 AM,ARCAD1,0,441
3,Ashcroft St,2,Jamaica Plain,08:00,12:00,Odd,Perkins St,Moraine St,0.101515151515152,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2/14/2012 8:36:32 AM,ASHCR1,0,536
4,Boylston St,1B,Back Bay,00:01,07:00,,Tremont St,Charles St,0.151893939393939,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,2/29/2012 10:06:53 AM,BOYLS6,525,1327
5,Chestnut St,1H,Beacon Hill,08:00,12:00,Even,Walnut St,Charles St,0.200757575757576,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,2/14/2012 8:36:32 AM,CHEST10,0,1060
6,Blackwood St,1B,Back Bay,08:00,12:00,Even,St Botolph St,Dead End,5.17045454545455E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,BLACK4,0,273
7,Bucknam St,10M,Mission Hill,12:00,16:00,Odd,Lawn St,Fisher Ave,8.03030303030303E-02,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,9/24/2018 1:15:05 PM,BUCKN1,0,424
8,Acadia St,5,South Boston,09:00,13:00,Even,East First St,East Second St,5.68181818181818E-02,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,ACADI1,0,300
9,Acadia St,5,South Boston,09:00,13:00,Odd,East First St,East Second St,5.68181818181818E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,ACADI1,0,300
10,Allston St,7,South Dorchester,12:00,16:00,Odd,Centre St,Melville Ave,0.195454545454545,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2/14/2012 8:36:32 AM,ALLST3,0,1032
12,Abbotsford St,10R,Roxbury,08:00,12:00,Odd,Walnut Ave,Harold St,0.121022727272727,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,ABBOT1,0,639
13,Brooks St,9,East Boston,12:00,16:00,Even,Cheslea St,Princeton St,0.20928,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4/7/2015 3:16:28 PM,BROOK12,222,1327
15,Bullard St,3,North Dorchester,12:00,16:00,Odd,Bowdoin St,Bowdoin Ave,0.19905303030303,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,6/13/2013 4:07:42 PM,BULLA1,0,1051
16,Centre St,7,South Dorchester,08:00,12:00,Even,Talbot Ave,Dorchester Ave,0.540530303030303,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2/14/2012 8:36:32 AM,CENTR7,0,2854
17,Appleton St,1S,South End,12:00,16:00,Odd,Tremont St,West Canton St,0.39375,,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,2/14/2012 8:36:32 AM,APPLE1,0,2079
18,Boylston St,2,Jamaica Plain,08:00,12:00,Odd,Lamartine St,Washington St,0.351515151515152,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2/14/2012 8:36:32 AM,BOYLS2,2084,3940
19,Ames St,7,South Dorchester,08:00,12:00,Odd,Westview St,Dead End,0.304166666666667,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,AMES 1,0,1606
20,Caryll St,7,South Dorchester,12:00,16:00,Odd,Morton St,Maryknoll St,0.170454545454545,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,CARYL1,0,900
22,Braemore Rd,4,Allston/Brighton,12:00,16:00,Odd,Commonwealth Ave,Chiswick Rd,9.43181818181818E-02,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2/14/2012 8:36:32 AM,BRAEM1,0,498
23,Chatham St,1F,Downtown,00:01,07:00,,Merchants Row,Commercial St,0.104734848484848,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,2/29/2012 10:06:53 AM,CHATH1,0,553
24,Bismarck St,2,Jamaica Plain,08:00,12:00,Even,Boylston St,Porter St,3.78787878787879E-02,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,2/14/2012 8:36:32 AM,BISMA1,0,200
25,Chestnut Ave,2,Jamaica Plain,12:00,16:00,Even,Centre St,Mozart St,0.235037878787879,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,4/11/2017 11:41:32 AM,CHEST5,0,1241
26,Central St,1F,Downtown,00:01,07:00,,India St,Dead End,7.95454545454545E-02,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,2/29/2012 10:06:53 AM,CENTR2,176,596
27,Bradeen St,2,Jamaica Plain,12:00,16:00,Odd,Washington St,Dead End,0.184848484848485,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,BRADE1,0,976
28,Amory St,10R,Roxbury,08:00,12:00,Even,Dimock St,School St,0.192992424242424,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10/7/2016 12:50:50 PM,AMORY2,900,1919
29,Chiswick Rd,4,Allston/Brighton,08:00,12:00,Even,Chestnut Hill Ave,Dead End,0.14375,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,6/17/2024 12:14:34 PM,CHISW1,2324,3083
30,Bunker Hill St,1C,Charlestown,08:00,12:00,Even,Moulton St,Medford St,0.908522727,,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,4/1/2014 9:11:27 AM,BUNKE1,364,5161
31,Bluefield Ter,7,South Dorchester,12:00,16:00,Even,Gladeside Ave,Ridgeview Ave,0.111742424242424,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,BLUEF1,0,590
